CDS Malasia 2023-2024;
Date; Value
31/12/2015;180.59
30/12/2016;138.62
29/12/2017;58.38
31/12/2018;109.28
31/12/2019;35.20
29/09/2020;57.19
15/11/2023;46.75
16/11/2023;47.75
17/11/2023;47
20/11/2023;45
21/11/2023;41.5
22/11/2023;43
23/11/2023;42
24/11/2023;42.25
27/11/2023;41.5
28/11/2023;41.5
29/11/2023;41.75
30/11/2023;41
1/12/2023;41
4/12/2023;40.75
5/12/2023;42.25
6/12/2023;43.75
7/12/2023;44.5
8/12/2023;43.75
11/12/2023;43.25
12/12/2023;43.25
13/12/2023;43.75
14/12/2023;40.5
15/12/2023;40.75
18/12/2023;41.5
19/12/2023;42
20/12/2023;41.5
21/12/2023;42.5
22/12/2023;41.5
27/12/2023;41.5
28/12/2023;40
29/12/2023;41
2/01/2024;42
3/01/2024;44.5
4/01/2024;45.75
5/01/2024;46.75
8/01/2024;46.25
9/01/2024;45.5
10/01/2024;42.5
11/01/2024;45.25
12/01/2024;44
15/01/2024;42.75
16/01/2024;43.75
17/01/2024;45.75
18/01/2024;45
19/01/2024;44.125
22/01/2024;44.75
23/01/2024;45.25
24/01/2024;44.13
25/01/2024;45
26/01/2024;46
29/01/2024;45
30/01/2024;44.625
31/01/2024;44.5
1/02/2024;45.5
2/02/2024;45.25
5/02/2024;45.25
6/02/2024;45
7/02/2024;43.25
8/02/2024;43.25
9/02/2024;42.5
12/02/2024;44
13/02/2024;44.75
14/02/2024;43.38
15/02/2024;42.88
16/02/2024;40.565
19/02/2024;40.5
20/02/2024;40.25
21/02/2024;40.25
22/02/2024;39.25
23/02/2024;38.5
26/02/2024;39.25
27/02/2024;39.875
28/02/2024;40.5
29/02/2024;40.38
1/03/2024;39.5
4/03/2024;39.5
5/03/2024;40
6/03/2024;40.75
7/03/2024;40.25
8/03/2024;39.25
11/03/2024;39.5
12/03/2024;39
13/03/2024;39
14/03/2024;39
15/03/2024;38.125
18/03/2024;38.38
19/03/2024;38.5
20/03/2024;41
21/03/2024;41
22/03/2024;41
25/03/2024;41.125
26/03/2024;41
27/03/2024;42.25
28/03/2024;41.5
2/04/2024;43.875
3/04/2024;43.25
4/04/2024;42.5
5/04/2024;44.5
8/04/2024;44.625
9/04/2024;42.5
10/04/2024;42.565
11/04/2024;44.5
12/04/2024;45.5
15/04/2024;47.125
16/04/2024;48.5
17/04/2024;48
18/04/2024;46.375
19/04/2024;48.5
22/04/2024;48
23/04/2024;47
24/04/2024;48.5
25/04/2024;50.125
26/04/2024;48.25
29/04/2024;47
30/04/2024;47.5
1/05/2024;48.375
2/05/2024;46.5
3/05/2024;45.5
7/05/2024;44.5
8/05/2024;45.75
