"Date","Price","Open","High","Low","Change %"
"30/12/2019","2.380","2.380","2.380","2.380","-0.83%"
"27/12/2019","2.400","2.400","2.400","2.400","-2.44%"
"26/12/2019","2.460","2.460","2.460","2.460","-1.60%"
"24/12/2019","2.500","2.500","2.500","2.500","1.21%"
"23/12/2019","2.470","2.470","2.470","2.470","-0.40%"
"20/12/2019","2.480","2.480","2.480","2.480","0.00%"
"19/12/2019","2.480","2.480","2.480","2.480","2.90%"
"18/12/2019","2.410","2.410","2.410","2.410","0.00%"
"17/12/2019","2.410","2.410","2.410","2.410","-6.23%"
"16/12/2019","2.570","2.570","2.570","2.570","-0.39%"
"13/12/2019","2.580","2.580","2.580","2.580","1.18%"
"12/12/2019","2.550","2.550","2.550","2.550","-2.67%"
"11/12/2019","2.620","2.620","2.620","2.620","-1.87%"
"10/12/2019","2.670","2.670","2.670","2.670","-3.61%"
"09/12/2019","2.770","2.770","2.770","2.770","0.36%"
"06/12/2019","2.760","2.760","2.760","2.760","0.00%"
"05/12/2019","2.760","2.760","2.760","2.760","5.34%"
"04/12/2019","2.620","2.620","2.620","2.620","0.38%"
"03/12/2019","2.610","2.610","2.610","2.610","1.95%"
"02/12/2019","2.560","2.560","2.560","2.560","3.64%"
"29/11/2019","2.470","2.470","2.470","2.470","-0.80%"
"28/11/2019","2.490","2.490","2.490","2.490","3.32%"
"27/11/2019","2.410","2.410","2.410","2.410","0.42%"
"26/11/2019","2.400","2.400","2.400","2.400","-1.64%"
"25/11/2019","2.440","2.440","2.440","2.440","-1.21%"
"22/11/2019","2.470","2.470","2.470","2.470","-1.59%"
"21/11/2019","2.510","2.510","2.510","2.510","-0.79%"
"20/11/2019","2.530","2.530","2.530","2.530","1.20%"
"19/11/2019","2.500","2.500","2.500","2.500","-1.19%"
"18/11/2019","2.530","2.530","2.530","2.530","-3.07%"
"15/11/2019","2.610","2.610","2.610","2.610","-10.92%"
"14/11/2019","2.930","2.930","2.930","2.930","6.55%"
"13/11/2019","2.750","2.750","2.750","2.750","10.44%"
"12/11/2019","2.490","2.490","2.490","2.490","5.51%"
"11/11/2019","2.360","2.360","2.360","2.360","0.43%"
"08/11/2019","2.350","2.350","2.350","2.350","-1.26%"
"07/11/2019","2.380","2.380","2.380","2.380","-2.06%"
"06/11/2019","2.430","2.430","2.430","2.430","-2.41%"
"05/11/2019","2.490","2.490","2.490","2.490","-2.35%"
"04/11/2019","2.550","2.550","2.550","2.550","1.59%"
"30/10/2019","2.510","2.510","2.510","2.510","4.15%"
"29/10/2019","2.410","2.410","2.410","2.410","4.78%"
"28/10/2019","2.300","2.300","2.300","2.300","0.88%"
"25/10/2019","2.280","2.280","2.280","2.280","0.00%"
