MAS: Financial Database - Domestic Interest Rates Exchange Rates;;;;MAS: Financial Database - Exchange Rates;;;;;
;;;;;;;;;
Domestic Interest Rates (Daily) Exchange Rates (Daily);;;;Exchange Rates (Daily);;;;;
Mar 2000 to May 2024;;;;Mar 2000 to May 2024;;;;;
;;;;;;;;;
;;;;;;;;;
End of Period / SORA Value Date;Month;Date;Interbank 1-Week;Year;Month;Day;S$ Per Unit of US Dollar;tasa_EEUU;riesgo_MALASIA
2000;Mar;1;2,63;2000;Mar;3;17.203;;
;;2;2,5;;;10;17.097;;
;;3;2,38;;;17;17.103;;
;;4;2,5;;;24;17.125;;
;;6;1,88;;;31;17.189;;
;;7;1,75;;Apr;7;17.115;;
;;8;1,75;;;14;17.118;;
;;9;1,63;;;20;16.965;;
;;10;1,69;;;28;17.049;;
;;11;1,63;;May;5;17.195;;
;;13;2;;;12;17.278;;
;;14;2;;;19;17.305;;
;;15;2,13;;;26;17.325;;
;;17;2,5;;Jun;2;17.283;;
;;18;2,5;;;9;17.262;;
;;20;3;;;16;17.243;;
;;21;2,5;;;23;17.335;;
;;22;2,25;;;30;17.294;;
;;23;2,25;;Jul;7;17.365;;
;;24;2,13;;;14;17.420;;
;;25;2,13;;;21;17.463;;
;;27;2,19;;;28;17.315;;
;;28;2,19;;Aug;4;17.235;;
;;29;2,25;;;11;17.145;;
;;30;2,25;;;18;17.200;;
;;31;2,25;;;25;17.215;;
;Apr;1;2,25;;Sep;1;17.203;;
;;3;2,13;;;8;17.313;;
;;4;1,94;;;15;17.370;;
;;5;2;;;22;17.458;;
;;6;1,94;;;29;17.410;;
;;7;2,19;;Oct;6;17.473;;
;;8;2,13;;;13;17.525;;
;;10;2,13;;;20;17.500;;
;;11;2,5;;;27;17.554;;
;;12;2,5;;Nov;3;17.330;;
;;13;2,75;;;10;17.390;;
;;14;2,63;;;17;17.478;;
;;15;2,63;;;24;17.579;;
;;17;2,63;;Dec;1;17.516;;
;;18;2,63;;;8;17.339;;
;;19;2,25;;;15;17.368;;
;;20;2,5;;;22;17.293;;
;;22;2,5;;;29;17.315;;
;;24;2,5;;;;;;
;;25;2,94;* Yearly; monthly and weekly figures are end period values,;;;;
;;26;3,13;* Daily figures are values as of noon,;;;;;
;;27;2,75;;;;;;
;;28;2,5;;;;;;
;;29;2,5;End of Period;;;S$ Per Unit of US Dollar;;
;May;2;2,5;2001;Jan;5;17.355;;
;;3;2,63;;;12;17.342;;
;;4;2,75;;;19;17.405;;
;;5;2,75;;;26;17.437;;
;;6;2,88;;Feb;2;17.390;;
;;8;3;;;9;17.459;;
;;9;3;;;16;17.442;;
;;10;3,13;;;23;17.455;;
;;11;3,25;;Mar;2;17.461;;
;;12;3;;;9;17.553;;
;;13;3;;;16;17.705;;
;;15;2,5;;;23;17.828;;
;;16;2,5;;;30;18.005;;
;;17;2,5;;Apr;6;18.145;;
;;19;2,63;;;12;18.088;;
;;20;2,63;;;20;18.090;;
;;22;2,5;;;27;18.195;;
;;23;2,75;;May;4;18.211;;
;;24;2,75;;;11;18.141;;
;;25;2,75;;;18;18.065;;
;;26;2,75;;;25;18.045;;
;;27;2,75;;Jun;1;18.083;;
;;29;2,69;;;8;18.101;;
;;30;2,38;;;15;18.137;;
;;31;2,25;;;22;18.195;;
;Jun;1;2,13;;;29;18.207;;
;;2;2;;Jul;6;18.255;;
;;3;2;;;13;18.355;;
;;5;1,75;;;20;18.240;;
;;6;1,88;;;27;18.036;;
;;7;1,88;;Aug;3;17.782;;
;;8;1,81;;;10;17.617;;
;;9;2;;;17;17.493;;
;;10;1,88;;;24;17.521;;
;;12;1,88;;;31;17.393;;
;;13;1,75;;Sep;7;17.510;;
;;14;1,75;;;14;17.388;;
