Banco de México;;;
;;;
Tasas y precios de referencia/ Tasa de campio peso-dólar;;;
Tasas de interés representativas;;;
;;;
Fecha de consulta: 13/05/2024 09:19:49;;;
;;;
;;;
;;;
Título;Tasas de interés interbancarias Por ciento anual, TIIE a 91 días;Tasa objetivo;Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954
Periodo disponible;23/01/1997 - 13/05/2024;21/01/2008 - 13/05/2024;19/04/1954 - 10/05/2024
Periodicidad;Diaria;Diaria;Diaria
Cifra;Porcentajes;Porcentajes;Tipo de Cambio
Unidad;Porcentajes;Sin Unidad;Pesos por Dólar
Base;;;
Aviso;;;
Tipo de información;Niveles;Niveles;Niveles
Fecha;SF43878;SF61745;SF63528
3/01/2000;N/E;N/E;9,3949
4/01/2000;N/E;N/E;9,4564
5/01/2000;N/E;N/E;9,5455
6/01/2000;187.150;N/E;9,5705
7/01/2000;N/E;N/E;9,515
10/01/2000;N/E;N/E;9,4464
11/01/2000;N/E;N/E;9,478
12/01/2000;N/E;N/E;9,5352
13/01/2000;183.600;N/E;9,5057
14/01/2000;N/E;N/E;9,4483
17/01/2000;N/E;N/E;9,4172
18/01/2000;N/E;N/E;9,4383
19/01/2000;N/E;N/E;9,4086
20/01/2000;188.850;N/E;9,4038
21/01/2000;N/E;N/E;9,4463
24/01/2000;N/E;N/E;9,4838
25/01/2000;N/E;N/E;9,5288
26/01/2000;N/E;N/E;9,5103
27/01/2000;188.100;N/E;9,5123
28/01/2000;N/E;N/E;9,5727
31/01/2000;N/E;N/E;9,6253
1/02/2000;N/E;N/E;9,5956
2/02/2000;N/E;N/E;9,5724
3/02/2000;190.000;N/E;9,5011
4/02/2000;N/E;N/E;9,4803
7/02/2000;N/E;N/E;9,4327
8/02/2000;N/E;N/E;9,4018
9/02/2000;N/E;N/E;9,3998
10/02/2000;179.700;N/E;9,4348
11/02/2000;N/E;N/E;9,4212
14/02/2000;N/E;N/E;9,3988
15/02/2000;N/E;N/E;9,388
16/02/2000;N/E;N/E;9,371
17/02/2000;177.450;N/E;9,3905
18/02/2000;N/E;N/E;9,3592
21/02/2000;N/E;N/E;9,4108
22/02/2000;N/E;N/E;9,4395
23/02/2000;N/E;N/E;9,4067
24/02/2000;177.550;N/E;9,3798
25/02/2000;N/E;N/E;9,3748
28/02/2000;N/E;N/E;9,4033
29/02/2000;N/E;N/E;9,3662
1/03/2000;N/E;N/E;9,3633
2/03/2000;173.200;N/E;9,3382
3/03/2000;N/E;N/E;9,3115
6/03/2000;N/E;N/E;9,3215
7/03/2000;N/E;N/E;9,3009
8/03/2000;N/E;N/E;9,2662
9/03/2000;161.350;N/E;9,2837
10/03/2000;N/E;N/E;9,3125
13/03/2000;N/E;N/E;9,3338
14/03/2000;N/E;N/E;9,3127
15/03/2000;N/E;N/E;9,3436
16/03/2000;157.000;N/E;9,3224
17/03/2000;N/E;N/E;9,3255
20/03/2000;N/E;N/E;9,3185
22/03/2000;N/E;N/E;9,2765
23/03/2000;152.500;N/E;9,2398
24/03/2000;N/E;N/E;9,1712
27/03/2000;N/E;N/E;9,1775
28/03/2000;N/E;N/E;9,1883
29/03/2000;N/E;N/E;9,2331
30/03/2000;149.100;N/E;9,3015
31/03/2000;N/E;N/E;9,2845
3/04/2000;N/E;N/E;9,2761
4/04/2000;N/E;N/E;9,2878
5/04/2000;N/E;N/E;9,3835
6/04/2000;149.750;N/E;9,3535
7/04/2000;N/E;N/E;9,3218
10/04/2000;N/E;N/E;9,2868
11/04/2000;N/E;N/E;9,3918
12/04/2000;N/E;N/E;9,3965
13/04/2000;148.500;N/E;9,3988
14/04/2000;N/E;N/E;9,4842
17/04/2000;N/E;N/E;9,4882
18/04/2000;N/E;N/E;9,4388
19/04/2000;153.750;N/E;9,3939
24/04/2000;N/E;N/E;9,4443
25/04/2000;N/E;N/E;9,4078
26/04/2000;N/E;N/E;9,4073
27/04/2000;152.150;N/E;9,4521
28/04/2000;N/E;N/E;9,4127
2/05/2000;N/E;N/E;9,3374
3/05/2000;N/E;N/E;9,3848
4/05/2000;154.700;N/E;9,3928
8/05/2000;N/E;N/E;9,4918
9/05/2000;N/E;N/E;9,4855
10/05/2000;N/E;N/E;9,5702
11/05/2000;167.200;N/E;9,5768
12/05/2000;N/E;N/E;9,5661
15/05/2000;N/E;N/E;9,582
16/05/2000;N/E;N/E;9,5088
17/05/2000;N/E;N/E;9,5451
18/05/2000;171.500;N/E;9,5751
19/05/2000;N/E;N/E;9,615
22/05/2000;N/E;N/E;9,5778
23/05/2000;N/E;N/E;9,509
24/05/2000;N/E;N/E;9,5328
25/05/2000;177.200;N/E;9,494
26/05/2000;N/E;N/E;9,5274
29/05/2000;N/E;N/E;9,5326
30/05/2000;N/E;N/E;9,516
31/05/2000;N/E;N/E;9,511
1/06/2000;170.950;N/E;9,4988
2/06/2000;N/E;N/E;9,5461
5/06/2000;N/E;N/E;9,5442
6/06/2000;N/E;N/E;9,657
7/06/2000;N/E;N/E;9,7942
8/06/2000;176.000;N/E;9,8519
9/06/2000;N/E;N/E;9,9263
12/06/2000;N/E;N/E;9,8546
13/06/2000;N/E;N/E;9,7645
14/06/2000;N/E;N/E;9,7879
15/06/2000;175.500;N/E;9,8478
16/06/2000;N/E;N/E;9,9243
19/06/2000;N/E;N/E;9,9031
20/06/2000;N/E;N/E;9,8644
21/06/2000;N/E;N/E;9,8568
22/06/2000;180.950;N/E;9,8707
23/06/2000;N/E;N/E;9,9805
26/06/2000;N/E;N/E;10,0197
27/06/2000;N/E;N/E;10,0787
28/06/2000;N/E;N/E;9,9538
29/06/2000;183.000;N/E;9,9003
30/06/2000;N/E;N/E;9,8243
3/07/2000;N/E;N/E;9,5461
4/07/2000;N/E;N/E;9,4876
5/07/2000;N/E;N/E;9,5384
6/07/2000;157.750;N/E;9,546
7/07/2000;N/E;N/E;9,5195
10/07/2000;N/E;N/E;9,5023
11/07/2000;N/E;N/E;9,428
12/07/2000;N/E;N/E;9,4748
13/07/2000;149.913;N/E;9,4368
14/07/2000;N/E;N/E;9,4152
17/07/2000;N/E;N/E;9,3491
18/07/2000;N/E;N/E;9,3327
19/07/2000;N/E;N/E;9,4118
20/07/2000;154.150;N/E;9,3608
21/07/2000;N/E;N/E;9,3485
24/07/2000;N/E;N/E;9,3337
25/07/2000;N/E;N/E;9,3657
26/07/2000;N/E;N/E;9,3627
27/07/2000;150.750;N/E;9,361
28/07/2000;N/E;N/E;9,3578
31/07/2000;N/E;N/E;9,3667
1/08/2000;N/E;N/E;9,3428
2/08/2000;N/E;N/E;9,3462
3/08/2000;167.650;N/E;9,3881
4/08/2000;N/E;N/E;9,3574
7/08/2000;N/E;N/E;9,3353
8/08/2000;N/E;N/E;9,3353
9/08/2000;N/E;N/E;9,326
10/08/2000;168.800;N/E;9,3198
11/08/2000;N/E;N/E;9,2918
14/08/2000;N/E;N/E;9,2516
15/08/2000;N/E;N/E;9,2504
16/08/2000;N/E;N/E;9,1923
17/08/2000;170.500;N/E;9,1873
18/08/2000;N/E;N/E;9,2293
21/08/2000;N/E;N/E;9,2563
22/08/2000;N/E;N/E;9,2322
23/08/2000;N/E;N/E;9,2773
24/08/2000;168.000;N/E;9,2268
25/08/2000;N/E;N/E;9,2342
28/08/2000;N/E;N/E;9,2093
29/08/2000;N/E;N/E;9,2317
30/08/2000;N/E;N/E;9,2108
31/08/2000;167.050;N/E;9,1995
1/09/2000;N/E;N/E;9,2014
4/09/2000;N/E;N/E;9,2231
5/09/2000;N/E;N/E;9,2612
6/09/2000;N/E;N/E;9,3115
7/09/2000;166.850;N/E;9,3141
8/09/2000;N/E;N/E;9,3243
11/09/2000;N/E;N/E;9,2814
12/09/2000;N/E;N/E;9,2542
13/09/2000;N/E;N/E;9,286
14/09/2000;170.350;N/E;9,3125
15/09/2000;N/E;N/E;9,3517
18/09/2000;N/E;N/E;9,4172
19/09/2000;N/E;N/E;9,425
20/09/2000;N/E;N/E;9,4483
21/09/2000;175.500;N/E;9,4347
22/09/2000;N/E;N/E;9,479
25/09/2000;N/E;N/E;9,4218
26/09/2000;N/E;N/E;9,4032
27/09/2000;N/E;N/E;9,4088
28/09/2000;172.400;N/E;9,429
29/09/2000;N/E;N/E;9,4459
2/10/2000;N/E;N/E;9,4142
3/10/2000;N/E;N/E;9,4014
4/10/2000;N/E;N/E;9,4292
5/10/2000;175.750;N/E;9,4515
6/10/2000;N/E;N/E;9,46
9/10/2000;N/E;N/E;9,4753
10/10/2000;N/E;N/E;9,4632
11/10/2000;N/E;N/E;9,479
12/10/2000;173.650;N/E;9,5193
13/10/2000;N/E;N/E;9,5879
16/10/2000;N/E;N/E;9,5351
17/10/2000;N/E;N/E;9,5443
18/10/2000;N/E;N/E;9,5765
19/10/2000;185.000;N/E;9,5333
20/10/2000;N/E;N/E;9,5605
23/10/2000;N/E;N/E;9,5736
24/10/2000;N/E;N/E;9,5757
25/10/2000;N/E;N/E;9,6242
26/10/2000;185.000;N/E;9,6777
27/10/2000;N/E;N/E;9,6443
30/10/2000;N/E;N/E;9,5995
31/10/2000;N/E;N/E;9,5642
1/11/2000;183.262;N/E;9,5824
3/11/2000;N/E;N/E;9,599
6/11/2000;N/E;N/E;9,6438
7/11/2000;N/E;N/E;9,6544
8/11/2000;N/E;N/E;9,6166
