Date;Group;Series;Value;Group;Series;Value
5/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,3425
6/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
7/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,375
8/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
9/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,43
11/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,42
12/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,375
13/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,4075
14/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,435
15/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
16/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,4825
18/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,46
19/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,4675
20/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,495
21/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,4475
22/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
23/01/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,5375
25/01/2000;Riksbank key interest rates;Policy rate;3,25;Currencies against Swedish kronor;1 USD;8,47
