Date;Group;Series;Tasa_suecia;tasa_eeuu;riesgo_suecia
1/01/2010;Riksbank key interest rates;Policy rate;N/A;0,05;.
2/01/2010;Riksbank key interest rates;Policy rate;N/A;0,05;.
3/01/2010;Riksbank key interest rates;Policy rate;N/A;0,05;.
4/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
5/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
6/01/2010;Riksbank key interest rates;Policy rate;N/A;0,12;
7/01/2010;Riksbank key interest rates;Policy rate;0,25;0,10;0,15
8/01/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
9/01/2010;Riksbank key interest rates;Policy rate;N/A;0,11;.
10/01/2010;Riksbank key interest rates;Policy rate;N/A;0,11;.
11/01/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
12/01/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
13/01/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
14/01/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
15/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
16/01/2010;Riksbank key interest rates;Policy rate;N/A;0,12;.
17/01/2010;Riksbank key interest rates;Policy rate;N/A;0,12;.
18/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
19/01/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
20/01/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
21/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
22/01/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
23/01/2010;Riksbank key interest rates;Policy rate;N/A;0,11;.
24/01/2010;Riksbank key interest rates;Policy rate;N/A;0,11;.
25/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
26/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
27/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
28/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
29/01/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
30/01/2010;Riksbank key interest rates;Policy rate;N/A;0,12;.
31/01/2010;Riksbank key interest rates;Policy rate;N/A;0,12;.
1/02/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
2/02/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
3/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
4/02/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
5/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
6/02/2010;Riksbank key interest rates;Policy rate;N/A;0,13;.
7/02/2010;Riksbank key interest rates;Policy rate;N/A;0,13;.
8/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
9/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
10/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
11/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
12/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
13/02/2010;Riksbank key interest rates;Policy rate;N/A;0,12;.
14/02/2010;Riksbank key interest rates;Policy rate;N/A;0,12;.
15/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
16/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
17/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
18/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
19/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
20/02/2010;Riksbank key interest rates;Policy rate;N/A;0,13;.
21/02/2010;Riksbank key interest rates;Policy rate;N/A;0,13;.
22/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
23/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
24/02/2010;Riksbank key interest rates;Policy rate;0,25;0,11;0,14
25/02/2010;Riksbank key interest rates;Policy rate;0,25;0,12;0,13
26/02/2010;Riksbank key interest rates;Policy rate;0,25;0,13;0,12
27/02/2010;Riksbank key interest rates;Policy rate;N/A;0,13;.
28/02/2010;Riksbank key interest rates;Policy rate;N/A;0,13;.
1/03/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
2/03/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
3/03/2010;Riksbank key interest rates;Policy rate;0,25;0,15;0,10
4/03/2010;Riksbank key interest rates;Policy rate;0,25;0,16;0,09
5/03/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
6/03/2010;Riksbank key interest rates;Policy rate;N/A;0,17;.
7/03/2010;Riksbank key interest rates;Policy rate;N/A;0,17;.
8/03/2010;Riksbank key interest rates;Policy rate;0,25;0,15;0,10
9/03/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
10/03/2010;Riksbank key interest rates;Policy rate;0,25;0,14;0,11
11/03/2010;Riksbank key interest rates;Policy rate;0,25;0,15;0,10
12/03/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
13/03/2010;Riksbank key interest rates;Policy rate;N/A;0,17;.
14/03/2010;Riksbank key interest rates;Policy rate;N/A;0,17;.
15/03/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
16/03/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
17/03/2010;Riksbank key interest rates;Policy rate;0,25;0,18;0,07
18/03/2010;Riksbank key interest rates;Policy rate;0,25;0,18;0,07
19/03/2010;Riksbank key interest rates;Policy rate;0,25;0,18;0,07
20/03/2010;Riksbank key interest rates;Policy rate;N/A;0,18;.
21/03/2010;Riksbank key interest rates;Policy rate;N/A;0,18;.
22/03/2010;Riksbank key interest rates;Policy rate;0,25;0,18;0,07
23/03/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
24/03/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
25/03/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
26/03/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
27/03/2010;Riksbank key interest rates;Policy rate;N/A;0,17;.
28/03/2010;Riksbank key interest rates;Policy rate;N/A;0,17;.
29/03/2010;Riksbank key interest rates;Policy rate;0,25;0,16;0,09
30/03/2010;Riksbank key interest rates;Policy rate;0,25;0,16;0,09
31/03/2010;Riksbank key interest rates;Policy rate;0,25;0,09;0,16
1/04/2010;Riksbank key interest rates;Policy rate;0,25;0,17;0,08
2/04/2010;Riksbank key interest rates;Policy rate;N/A;0,20;.
3/04/2010;Riksbank key interest rates;Policy rate;N/A;0,20;.
4/04/2010;Riksbank key interest rates;Policy rate;N/A;0,20;.
5/04/2010;Riksbank key interest rates;Policy rate;N/A;0,20;.
6/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
7/04/2010;Riksbank key interest rates;Policy rate;0,25;0,19;0,06
8/04/2010;Riksbank key interest rates;Policy rate;0,25;0,19;0,06
9/04/2010;Riksbank key interest rates;Policy rate;0,25;0,19;0,06
10/04/2010;Riksbank key interest rates;Policy rate;N/A;0,19;.
11/04/2010;Riksbank key interest rates;Policy rate;N/A;0,19;.
12/04/2010;Riksbank key interest rates;Policy rate;0,25;0,19;0,06
13/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
14/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
15/04/2010;Riksbank key interest rates;Policy rate;0,25;0,22;0,03
16/04/2010;Riksbank key interest rates;Policy rate;0,25;0,21;0,04
17/04/2010;Riksbank key interest rates;Policy rate;N/A;0,21;.
18/04/2010;Riksbank key interest rates;Policy rate;N/A;0,21;.
19/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
20/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
21/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
22/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
23/04/2010;Riksbank key interest rates;Policy rate;0,25;0,20;0,05
