"Date","Price","Open","High","Low","Change %"
"12/30/2019","1.576","1.529","1.576","1.529","3.14%"
"12/27/2019","1.528","1.525","1.528","1.525","1.26%"
"12/23/2019","1.509","1.515","1.516","1.505","-1.05%"
"12/20/2019","1.525","1.525","1.544","1.525","-0.97%"
"12/19/2019","1.540","1.524","1.542","1.524","2.39%"
"12/18/2019","1.504","1.494","1.504","1.484","0.74%"
"12/17/2019","1.493","1.487","1.494","1.474","0.54%"
"12/16/2019","1.485","1.484","1.495","1.475","-0.60%"
"12/13/2019","1.494","1.536","1.537","1.494","0.27%"
"12/12/2019","1.490","1.474","1.490","1.464","1.43%"
"12/11/2019","1.469","1.469","1.483","1.459","-0.34%"
"12/10/2019","1.474","1.464","1.485","1.464","1.03%"
"12/09/2019","1.459","1.469","1.473","1.454","0.34%"
"12/06/2019","1.454","1.469","1.477","1.454","-1.02%"
"12/05/2019","1.469","1.424","1.469","1.424","3.89%"
"12/04/2019","1.414","1.425","1.425","1.399","-3.48%"
"12/03/2019","1.465","1.479","1.497","1.465","-0.27%"
"12/02/2019","1.469","1.434","1.485","1.434","4.63%"
"11/29/2019","1.404","1.406","1.413","1.384","0.21%"
"11/28/2019","1.401","1.400","1.401","1.379","0.14%"
"11/27/2019","1.399","1.390","1.405","1.374","0.43%"
"11/26/2019","1.393","1.428","1.428","1.380","-1.14%"
"11/25/2019","1.409","1.420","1.434","1.409","-1.05%"
"11/22/2019","1.424","1.463","1.470","1.424","-2.06%"
"11/21/2019","1.454","1.434","1.462","1.434","0.97%"
"11/20/2019","1.440","1.415","1.440","1.409","-0.28%"
"11/19/2019","1.444","1.462","1.467","1.444","-1.16%"
"11/18/2019","1.461","1.474","1.479","1.459","-0.20%"
"11/15/2019","1.464","1.490","1.490","1.459","-0.34%"
"11/14/2019","1.469","1.512","1.512","1.469","-3.29%"
"11/13/2019","1.519","1.579","1.588","1.508","-4.41%"
"11/12/2019","1.589","1.614","1.621","1.589","0.00%"
"11/11/2019","1.589","1.610","1.610","1.589","-0.63%"
"11/08/2019","1.599","1.604","1.623","1.594","0.31%"
"11/07/2019","1.594","1.530","1.597","1.530","4.94%"
"11/06/2019","1.519","1.533","1.540","1.509","1.06%"
"11/05/2019","1.503","1.479","1.511","1.474","5.18%"
"11/04/2019","1.429","1.425","1.436","1.414","1.64%"
"11/01/2019","1.406","1.388","1.406","1.374","1.08%"
"10/31/2019","1.391","1.409","1.421","1.384","-2.66%"
"10/30/2019","1.429","1.439","1.460","1.429","0.35%"
"10/29/2019","1.424","1.436","1.436","1.424","-0.97%"
"10/28/2019","1.438","1.387","1.438","1.384","4.96%"
"10/25/2019","1.370","1.349","1.380","1.349","2.70%"
"10/24/2019","1.334","1.329","1.367","1.329","0.00%"
"10/23/2019","1.334","1.309","1.334","1.309","0.00%"
"10/22/2019","1.334","1.315","1.352","1.304","1.14%"
"10/21/2019","1.319","1.289","1.329","1.289","2.73%"
"10/18/2019","1.284","1.275","1.296","1.275","-0.23%"
"10/17/2019","1.287","1.269","1.316","1.269","1.02%"
"10/16/2019","1.274","1.259","1.274","1.245","3.66%"
"10/15/2019","1.229","1.245","1.245","1.225","-0.41%"
"10/14/2019","1.234","1.233","1.238","1.214","-0.56%"
"10/11/2019","1.241","1.203","1.241","1.184","3.85%"
"10/10/2019","1.195","1.164","1.195","1.139","6.32%"
"10/09/2019","1.124","1.147","1.165","1.124","-0.53%"
"10/08/2019","1.130","1.194","1.206","1.130","-4.16%"
"10/07/2019","1.179","1.189","1.200","1.179","-1.26%"
"10/04/2019","1.194","1.208","1.208","1.184","-1.24%"
"10/03/2019","1.209","1.257","1.257","1.204","-4.35%"
"10/02/2019","1.264","1.279","1.299","1.259","-1.17%"
"10/01/2019","1.279","1.276","1.314","1.259","3.23%"
"09/30/2019","1.239","1.264","1.277","1.239","1.23%"
"09/27/2019","1.224","1.250","1.250","1.224","-1.29%"
"09/26/2019","1.240","1.252","1.260","1.234","1.72%"
"09/25/2019","1.219","1.244","1.259","1.204","-3.48%"
"09/24/2019","1.263","1.254","1.267","1.249","0.24%"
"09/23/2019","1.260","1.283","1.285","1.244","-1.95%"
"09/20/2019","1.285","1.290","1.293","1.279","-1.08%"
"09/19/2019","1.299","1.353","1.366","1.299","-4.20%"
"09/18/2019","1.356","1.388","1.388","1.344","-1.38%"
"09/17/2019","1.375","1.383","1.387","1.364","-0.29%"
"09/16/2019","1.379","1.369","1.394","1.369","1.25%"
"09/13/2019","1.362","1.270","1.367","1.264","15.03%"
"09/12/2019","1.184","1.184","1.199","1.170","-0.84%"
"09/11/2019","1.194","1.196","1.209","1.189","2.14%"
"09/10/2019","1.169","1.198","1.210","1.169","0.86%"
"09/09/2019","1.159","1.150","1.173","1.150","1.22%"
"09/06/2019","1.145","1.169","1.176","1.145","-0.78%"
"09/05/2019","1.154","1.119","1.154","1.105","2.58%"
"09/04/2019","1.125","1.110","1.125","1.105","1.35%"
"09/03/2019","1.110","1.120","1.133","1.089","-2.55%"
"09/02/2019","1.139","1.153","1.162","1.139","-1.89%"
"08/30/2019","1.161","1.193","1.200","1.159","-2.35%"
"08/29/2019","1.189","1.186","1.201","1.173","1.54%"
"08/28/2019","1.171","1.204","1.204","1.169","-4.33%"
"08/27/2019","1.224","1.228","1.229","1.218","0.41%"
"08/26/2019","1.219","1.214","1.225","1.213","-0.41%"
"08/23/2019","1.224","1.222","1.251","1.218","0.99%"
"08/22/2019","1.212","1.188","1.225","1.188","2.11%"
"08/21/2019","1.187","1.109","1.187","1.109","7.91%"
"08/20/2019","1.100","1.123","1.123","1.094","-0.27%"
"08/19/2019","1.103","1.028","1.103","1.019","7.61%"
"08/16/2019","1.025","1.031","1.034","1.009","-2.29%"
"08/15/2019","1.049","1.118","1.118","1.049","-7.50%"
"08/14/2019","1.134","1.161","1.161","1.129","-3.32%"
"08/13/2019","1.173","1.173","1.174","1.158","-1.18%"
"08/12/2019","1.187","1.188","1.188","1.179","-0.08%"
"08/09/2019","1.188","1.155","1.188","1.143","0.85%"
"08/08/2019","1.178","1.158","1.189","1.153","5.84%"
"08/07/2019","1.113","1.166","1.168","1.109","-6.00%"
"08/06/2019","1.184","1.169","1.184","1.169","-1.17%"
"08/05/2019","1.198","1.229","1.229","1.198","-6.26%"
