"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2020","37,3100","37,3250","37,3250","37,3250","","0,00%"
"31.12.2019","37,3100","37,1500","37,3250","37,1350","0,03K","0,48%"
"30.12.2019","37,1300","37,0150","37,4250","37,0150","0,02K","0,38%"
"27.12.2019","36,9900","36,9850","37,2050","36,9850","0,03K","0,08%"
"26.12.2019","36,9600","37,0250","37,1000","36,9750","0,01K","-0,32%"
"25.12.2019","37,0800","37,1050","37,1050","37,1050","","0,00%"
"24.12.2019","37,0800","37,5150","37,5150","37,1050","0,02K","-1,09%"
"23.12.2019","37,4900","37,6250","37,6250","37,3650","0,02K","-0,29%"
"20.12.2019","37,6000","37,7150","37,7150","37,4650","0,03K","-0,24%"
"19.12.2019","37,6900","37,7050","37,7200","37,5750","0,03K","0,03%"
"18.12.2019","37,6800","37,7450","37,7450","37,7050","0,04K","-0,11%"
"17.12.2019","37,7200","37,7850","37,7850","37,6950","0,03K","-0,11%"
"16.12.2019","37,7600","37,8450","37,8450","37,7200","0,05K","-0,16%"
"13.12.2019","37,8200","37,9750","37,9750","37,7250","0,04K","-0,34%"
"12.12.2019","37,9500","37,9850","37,9850","37,8000","0,02K","-0,03%"
"11.12.2019","37,9600","37,8150","37,9950","37,7950","0,05K","0,45%"
"10.12.2019","37,7900","37,7150","37,9500","37,7150","0,03K","0,27%"
"09.12.2019","37,6900","37,8250","37,8250","37,7150","0,04K","-0,29%"
"06.12.2019","37,8000","37,8250","37,8250","37,7350","0,02K","0,00%"
"05.12.2019","37,8000","37,6450","37,8600","37,6450","0,04K","0,51%"
"04.12.2019","37,6100","37,6950","37,8200","37,6200","0,02K","-0,16%"
"03.12.2019","37,6700","37,8550","37,8550","37,6200","0,04K","-0,42%"
"02.12.2019","37,8300","38,0150","38,0150","37,8550","0,02K","-0,42%"
"29.11.2019","37,9900","37,9150","38,0150","37,7600","0,03K","0,26%"
"28.11.2019","37,8900","37,9150","38,0600","37,9150","0,02K","0,00%"
"27.11.2019","37,8900","37,8150","38,0300","37,7950","0,02K","0,26%"
"26.11.2019","37,7900","37,7850","37,9100","37,7850","0,03K","0,08%"
"25.11.2019","37,7600","37,7550","37,8100","37,7450","0,03K","0,08%"
"22.11.2019","37,7300","37,7050","37,7800","37,6900","0,04K","0,13%"
"21.11.2019","37,6800","37,6750","37,7450","37,6250","0,03K","0,08%"
"20.11.2019","37,6500","37,6650","37,7100","37,6350","0,03K","0,03%"
"19.11.2019","37,6400","37,6550","37,6750","37,6450","0,04K","0,03%"
"18.11.2019","37,6300","37,6750","37,6750","37,6550","0,03K","-0,05%"
"15.11.2019","37,6500","37,5850","37,6800","37,5850","0,03K","0,24%"
"14.11.2019","37,5600","37,5750","37,5900","37,5450","0,03K","0,03%"
"13.11.2019","37,5500","37,5050","37,5850","37,4900","0,03K","0,24%"
"12.11.2019","37,4600","37,5050","37,5100","37,4800","0,03K","-0,05%"
"11.11.2019","37,4800","37,4450","37,5350","37,4250","0,03K","0,16%"
"08.11.2019","37,4200","37,4750","37,4750","37,4450","0,03K","-0,08%"
"07.11.2019","37,4500","37,3650","37,4750","37,3250","0,03K","0,29%"
"06.11.2019","37,3400","37,2750","37,5100","37,2750","0,06K","0,24%"
"05.11.2019","37,2500","37,4150","37,4150","37,2750","0,05K","-0,37%"
"04.11.2019","37,3900","37,4450","37,4450","37,2750","0,03K","-0,08%"
"01.11.2019","37,4200","37,4850","37,4850","37,4250","0,05K","-0,11%"
"31.10.2019","37,4600","37,4450","37,4950","37,4250","0,03K","0,11%"
"30.10.2019","37,4200","37,5050","37,5050","37,4450","0,03K","-0,16%"
"29.10.2019","37,4800","37,4450","37,5150","37,4250","0,04K","0,16%"
"28.10.2019","37,4200","37,4050","37,4950","37,3950","0,03K","0,11%"
"25.10.2019","37,3800","37,3750","37,4150","37,3750","0,04K","0,08%"
"24.10.2019","37,3500","37,4050","37,4050","37,3550","0,02K","-0,08%"
"23.10.2019","37,3800","37,3850","37,4100","37,3000","0,03K","-0,05%"
"22.10.2019","37,4000","37,3750","37,4100","37,3750","0,04K","0,13%"
