,ifscode,country,ISO,period,year,month,ctr_nomxr,ctr_rexr,ctr_irr,ctr_stir,ctr_ltir,ctr_spi,FXI_spot_proxy_USD_m,FXI_deriv_proxy_USD_m,FXI_broad_proxy_USD_m,FXI_spot_proxy_GDP_m,FXI_deriv_proxy_GDP_m,FXI_broad_proxy_GDP_m,FXI_spot_pub_USD_m,FXI_deriv_pub_USD_m,FXI_broad_pub_USD_m,FXI_spot_pub_GDP_m,FXI_deriv_pub_GDP_m,FXI_broad_pub_GDP_m,Sterilization_dummy,De_facto_EXR_regime,De_jure_EXR_regime
261,112,United Kingdom,GBR,2010-06,2010,6,0.6777727,86.13686,0.487,0.72839,3.6007,77.93181,,,,,,,0.0,,,0.0,,,,0,0
262,112,United Kingdom,GBR,2010-07,2010,7,0.6542273,86.13939,0.49,0.73603,3.5087,78.21916,,,,,,,0.0,,,0.0,,,,0,0
263,112,United Kingdom,GBR,2010-08,2010,8,0.6398636,87.47912,0.491,0.73296,3.233,80.00254,,,,,,,0.0,,,0.0,,,,0,0
264,112,United Kingdom,GBR,2010-09,2010,9,0.6420454,85.79793,0.501,0.72859,3.1271,83.62054,,,,,,,0.0,,,0.0,,,,0,0
265,112,United Kingdom,GBR,2010-10,2010,10,0.6306667,83.6707,0.5083,0.7384,3.0685,86.2373,,,,,,,0.0,,,0.0,,,,0,0
266,112,United Kingdom,GBR,2010-11,2010,11,0.6270909,85.37041,0.5086,0.73901,3.311,86.95272,,,,,,,0.0,,,0.0,,,,0,0
267,112,United Kingdom,GBR,2010-12,2010,12,0.642,85.35883,0.5173,0.74962,3.6098,89.17023,,,,,,,0.0,,,0.0,,,,0,0
268,112,United Kingdom,GBR,2011-01,2011,1,0.6335714,85.44667,0.5059,0.76866,3.7273,90.49825,,,,,,,0.0,,,0.0,,,,0,0
269,112,United Kingdom,GBR,2011-02,2011,2,0.62005,86.04002,0.5084,0.79962,3.8799,91.29873,,,,,,,0.0,,,0.0,,,,0,0
270,112,United Kingdom,GBR,2011-03,2011,3,0.6191739,84.41399,0.5154,0.80913,3.7386,88.81116,,,,,,,-150.0,,,-0.005762699,,,,0,0
271,112,United Kingdom,GBR,2011-04,2011,4,0.6106667,83.84356,0.524,0.82096,3.7619,91.15983,,,,,,,0.0,,,0.0,,,,0,0
272,112,United Kingdom,GBR,2011-05,2011,5,0.6121818,84.11584,0.5217,0.82344,3.5053,90.13159,,,,,,,0.0,,,0.0,,,,0,0
273,112,United Kingdom,GBR,2011-06,2011,6,0.6167727,83.16614,0.5311,0.82512,3.4144,87.82962,,,,,,,0.0,,,0.0,,,,0,0
274,112,United Kingdom,GBR,2011-07,2011,7,0.6191905,83.00964,0.5228,0.8289,3.3137,89.6133,,,,,,,0.0,,,0.0,,,,0,0
275,112,United Kingdom,GBR,2011-08,2011,8,0.6114348,84.31278,0.538,0.85782,2.7833,79.83832,,,,,,,0.0,,,0.0,,,,0,0
276,112,United Kingdom,GBR,2011-09,2011,9,0.6337273,84.50142,0.5486,0.9181,2.504,79.28227,,,,,,,0.0,,,0.0,,,,0,0
277,112,United Kingdom,GBR,2011-10,2011,10,0.6347619,84.65664,0.5358,0.96991,2.529,82.01352,,,,,,,0.0,,,0.0,,,,0,0
278,112,United Kingdom,GBR,2011-11,2011,11,0.6325455,85.84383,0.5347,1.01182,2.2917,81.92102,,,,,,,0.0,,,0.0,,,,0,0
279,112,United Kingdom,GBR,2011-12,2011,12,0.6416364,86.62451,0.5201,1.06148,2.1828,83.14214,,,,,,,0.0,,,0.0,,,,0,0
280,112,United Kingdom,GBR,2012-01,2012,1,0.6446818,86.40464,0.5157,1.08709,2.1104,86.26339,,,,,,,0.0,,,0.0,,,,0,0
281,112,United Kingdom,GBR,2012-02,2012,2,0.6328095,86.01871,0.4993,1.07249,2.2191,89.36356,,,,,,,0.0,,,0.0,,,,0,0
282,112,United Kingdom,GBR,2012-03,2012,3,0.6320909,86.12901,0.49,1.03757,2.323,89.09153,,,,,,,0.0,,,0.0,,,,0,0
283,112,United Kingdom,GBR,2012-04,2012,4,0.6251429,87.64465,0.4861,1.01792,2.2117,86.81686,,,,,,,0.0,,,0.0,,,,0,0
284,112,United Kingdom,GBR,2012-05,2012,5,0.6286087,89.23637,0.4848,1.005,1.9416,82.94213,,,,,,,0.0,,,0.0,,,,0,0
285,112,United Kingdom,GBR,2012-06,2012,6,0.6431429,88.49127,0.4859,0.94978,1.7698,82.78458,,,,,,,0.0,,,0.0,,,,0,0
286,112,United Kingdom,GBR,2012-07,2012,7,0.6415455,89.56593,0.4646,0.81735,1.6523,85.46852,,,,,,,0.0,,,0.0,,,,0,0
287,112,United Kingdom,GBR,2012-08,2012,8,0.6361739,89.43211,0.45,0.70481,1.6735,87.88861,,,,,,,0.0,,,0.0,,,,0,0
288,112,United Kingdom,GBR,2012-09,2012,9,0.6207,89.47681,0.4271,0.64803,1.7222,88.03069,,,,,,,0.0,,,0.0,,,,0,0
289,112,United Kingdom,GBR,2012-10,2012,10,0.6219565,88.9638,0.4334,0.54397,1.7721,88.43055,,,,,,,0.0,,,0.0,,,,0,0
290,112,United Kingdom,GBR,2012-11,2012,11,0.6265454,89.27782,0.4256,0.52452,1.7741,87.75896,,,,,,,0.0,,,0.0,,,,0,0
291,112,United Kingdom,GBR,2012-12,2012,12,0.6195238,89.11051,0.4309,0.51848,1.8467,89.8544,,,,,,,0.0,,,0.0,,,,0,0
292,112,United Kingdom,GBR,2013-01,2013,1,0.6261739,87.28514,0.4097,0.51228,2.0795,93.26134,,,,,,,0.0,,,0.0,,,,0,0
293,112,United Kingdom,GBR,2013-02,2013,2,0.6465,84.51186,0.4261,0.50988,2.1781,95.77787,,,,,,,0.0,,,0.0,,,,0,0
294,112,United Kingdom,GBR,2013-03,2013,3,0.6631905,84.16137,0.4353,0.50688,1.9768,97.56867,,,,,,,0.0,,,0.0,,,,0,0
295,112,United Kingdom,GBR,2013-04,2013,4,0.653,85.36528,0.4396,0.50557,1.7824,96.48994,,,,,,,0.0,,,0.0,,,,0,0
296,112,United Kingdom,GBR,2013-05,2013,5,0.6545714,85.71691,0.4336,0.50563,1.9462,100.7186,,,,,,,0.0,,,0.0,,,,0,0
297,112,United Kingdom,GBR,2013-06,2013,6,0.6461495,86.21044,0.4252,0.50794,2.3063,95.5213,,,,,,,0.0,,,0.0,,,,0,0
298,112,United Kingdom,GBR,2013-07,2013,7,0.6591865,85.08414,0.4301,0.50944,2.471,98.83331,,,,,,,0.0,,,0.0,,,,0,0
299,112,United Kingdom,GBR,2013-08,2013,8,0.6447964,86.39487,0.427,0.51262,2.7088,98.86803,,,,,,,0.0,,,0.0,,,,0,0
300,112,United Kingdom,GBR,2013-09,2013,9,0.6304153,88.32045,0.4299,0.51688,2.8443,99.3566,,,,,,,0.0,,,0.0,,,,0,0
301,112,United Kingdom,GBR,2013-10,2013,10,0.6214021,88.26205,0.4313,0.51663,2.6784,99.6535,,,,,,,0.0,,,0.0,,,,0,0
302,112,United Kingdom,GBR,2013-11,2013,11,0.621029,89.33623,0.43,0.52344,2.7598,101.5092,,,,,,,0.0,,,0.0,,,,0,0
303,112,United Kingdom,GBR,2013-12,2013,12,0.6105332,90.55672,0.4215,0.52474,2.9458,99.83622,,,,,,,0.0,,,0.0,,,,0,0
304,112,United Kingdom,GBR,2014-01,2014,1,0.6070422,91.28423,0.4287,0.52093,2.91,101.8433,,,,,,,0.0,,,0.0,,,,0,0
305,112,United Kingdom,GBR,2014-02,2014,2,0.603666,91.77013,0.4197,0.52153,2.8147,101.4896,,,,,,,0.0,,,0.0,,,,0,0
306,112,United Kingdom,GBR,2014-03,2014,3,0.601629,91.31796,0.4159,0.52157,2.7837,100.5595,,,,,,,0.0,,,0.0,,,,0,0
307,112,United Kingdom,GBR,2014-04,2014,4,0.5970595,92.0242,0.422,0.52665,2.7417,100.83,,,,,,,0.0,,,0.0,,,,0,0
308,112,United Kingdom,GBR,2014-05,2014,5,0.593645,92.61654,0.4233,0.52744,2.6989,103.6177,,,,,,,0.0,,,0.0,,,,0,0
309,112,United Kingdom,GBR,2014-06,2014,6,0.5915428,93.72029,0.4251,0.54394,2.7842,103.177,,,,,,,0.0,,,0.0,,,,0,0
310,112,United Kingdom,GBR,2014-07,2014,7,0.5858917,94.65738,0.4283,0.55641,2.7343,102.6874,,,,,,,0.0,,,0.0,,,,0,0
311,112,United Kingdom,GBR,2014-08,2014,8,0.5987067,94.05155,0.4228,0.56119,2.5347,101.826,,,,,,,0.0,,,0.0,,,,0,0
